from_node,to_node,walk_distance_m,walk_distance_km,walk_time_hr,feasible
376119030,2296395497,2991.7339,2.9917,0.5983,0
376119159,2296395497,2791.9272,2.7919,0.5584,0
387526911,2296395497,408.0025,0.408,0.0816,1
387552359,2296395497,2807.5838,2.8076,0.5615,0
411932204,2296395497,2261.5614,2.2616,0.4523,0
412689918,2296395497,2755.9617,2.756,0.5512,0
412859588,2296395497,2611.8981,2.6119,0.5224,0
412859589,2296395497,2366.3365,2.3663,0.4733,0
414478048,2296395497,2386.0996,2.3861,0.4772,0
416185307,2296395497,2872.6638,2.8727,0.5745,0
416191302,2296395497,2014.4301,2.0144,0.4029,0
416191760,2296395497,2125.6177,2.1256,0.4251,0
416200980,2296395497,2581.6232,2.5816,0.5163,0
416201077,2296395497,2398.0517,2.3981,0.4796,0
416204338,2296395497,2466.5809,2.4666,0.4933,0
416206834,2296395497,2382.4536,2.3825,0.4765,0
416208856,2296395497,2136.8279,2.1368,0.4274,0
416210563,2296395497,2329.9658,2.33,0.466,0
416215049,2296395497,2304.6598,2.3047,0.4609,0
416215978,2296395497,2310.8597,2.3109,0.4622,0
416218154,2296395497,2484.2195,2.4842,0.4968,0
416218655,2296395497,2439.5877,2.4396,0.4879,0
416219720,2296395497,2364.6871,2.3647,0.4729,0
416219955,2296395497,2426.6431,2.4266,0.4853,0
416226879,2296395497,2268.8324,2.2688,0.4538,0
416232528,2296395497,2110.4445,2.1104,0.4221,0
416235300,2296395497,2298.6502,2.2987,0.4597,0
416237495,2296395497,2242.8827,2.2429,0.4486,0
416245143,2296395497,2118.0809,2.1181,0.4236,0
416246025,2296395497,2254.3378,2.2543,0.4509,0
416257325,2296395497,2532.9472,2.5329,0.5066,0
416276102,2296395497,2390.5388,2.3905,0.4781,0
416277147,2296395497,2221.0742,2.2211,0.4442,0
416289811,2296395497,2256.7088,2.2567,0.4513,0
416297051,2296395497,2435.5304,2.4355,0.4871,0
416299634,2296395497,2381.9684,2.382,0.4764,0
416300591,2296395497,2100.4042,2.1004,0.4201,0
416306360,2296395497,2409.9359,2.4099,0.482,0
416307389,2296395497,2238.1241,2.2381,0.4476,0
418988931,2296395497,2217.9528,2.218,0.4436,0
418988932,2296395497,2117.9014,2.1179,0.4236,0
418988939,2296395497,2101.7594,2.1018,0.4204,0
418988940,2296395497,2177.6002,2.1776,0.4355,0
418988941,2296395497,2270.1278,2.2701,0.454,0
418988942,2296395497,2033.7298,2.0337,0.4067,0
418988946,2296395497,2023.1445,2.0231,0.4046,0
418988947,2296395497,2060.3691,2.0604,0.4121,0
418988948,2296395497,2102.2474,2.1022,0.4204,0
418988949,2296395497,2205.0976,2.2051,0.441,0
418988976,2296395497,2739.4562,2.7395,0.5479,0
418988978,2296395497,2270.4466,2.2704,0.4541,0
418995334,2296395497,2051.5665,2.0516,0.4103,0
418996074,2296395497,2639.948,2.6399,0.528,0
418996075,2296395497,2665.5949,2.6656,0.5331,0
418996076,2296395497,2694.3175,2.6943,0.5389,0
418996077,2296395497,2723.4219,2.7234,0.5447,0
418996079,2296395497,2435.0032,2.435,0.487,0
418996080,2296395497,2397.5561,2.3976,0.4795,0
418996081,2296395497,2816.0418,2.816,0.5632,0
421138218,2296395497,2466.6741,2.4667,0.4933,0
421138233,2296395497,2732.94,2.7329,0.5466,0
421155707,2296395497,2400.548,2.4005,0.4801,0
421163789,2296395497,2231.4617,2.2315,0.4463,0
422348163,2296395497,2766.3864,2.7664,0.5533,0
4250580079,2296395497,2698.1501,2.6982,0.5396,0
429385249,2296395497,2751.568,2.7516,0.5503,0
442399958,2296395497,2076.0181,2.076,0.4152,0
442432391,2296395497,2698.4011,2.6984,0.5397,0
442760431,2296395497,435.4253,0.4354,0.0871,1
442760432,2296395497,415.1924,0.4152,0.083,1
442760433,2296395497,215.4717,0.2155,0.0431,1
442760434,2296395497,235.1979,0.2352,0.047,1
442760435,2296395497,418.0085,0.418,0.0836,1
442760443,2296395497,460.1713,0.4602,0.092,1
442760444,2296395497,388.9735,0.389,0.0778,1
442760454,2296395497,2619.4443,2.6194,0.5239,0
442760456,2296395497,2276.0653,2.2761,0.4552,0
442760457,2296395497,2464.8369,2.4648,0.493,0
443970618,2296395497,2393.6646,2.3937,0.4787,0
444672672,2296395497,484.6928,0.4847,0.0969,1
4803110849,2296395497,2320.9472,2.3209,0.4642,0
545312773,2296395497,2420.2607,2.4203,0.4841,0
6835825381,2296395497,2004.1464,2.0041,0.4008,0
6835825382,2296395497,2008.7491,2.0087,0.4017,0
6835868985,2296395497,2017.7326,2.0177,0.4035,0
6835868987,2296395497,2047.4079,2.0474,0.4095,0
6835868989,2296395497,2086.3327,2.0863,0.4173,0
7369426378,2296395497,2357.556,2.3576,0.4715,0
7369497883,2296395497,2340.9793,2.341,0.4682,0
8163580146,2296395497,2080.6547,2.0807,0.4161,0
8163580147,2296395497,2077.5945,2.0776,0.4155,0
8163580148,2296395497,2078.0846,2.0781,0.4156,0
8163580152,2296395497,2079.3382,2.0793,0.4159,0
8163580153,2296395497,2018.9756,2.019,0.4038,0
8189608931,2296395497,2842.7662,2.8428,0.5686,0
8189608957,2296395497,2771.9963,2.772,0.5544,0
8189608958,2296395497,2821.3726,2.8214,0.5643,0
8189608959,2296395497,2827.6162,2.8276,0.5655,0
9442405983,2296395497,2846.4193,2.8464,0.5693,0
9442405984,2296395497,2882.2669,2.8823,0.5765,0
9442600170,2296395497,2789.581,2.7896,0.5579,0
9442789573,2296395497,2785.3048,2.7853,0.5571,0
9442789574,2296395497,2281.0842,2.2811,0.4562,0
9442789575,2296395497,2153.5845,2.1536,0.4307,0
9442789576,2296395497,2118.7055,2.1187,0.4237,0
9448986018,2296395497,2159.3673,2.1594,0.4319,0
9448986019,2296395497,2105.7516,2.1058,0.4212,0
9448986020,2296395497,2096.7515,2.0968,0.4194,0
9448986030,2296395497,2261.8554,2.2619,0.4524,0
9584102244,2296395497,2105.5191,2.1055,0.4211,0
9584102245,2296395497,2206.5529,2.2066,0.4413,0
9584102246,2296395497,2341.0345,2.341,0.4682,0
9610108483,2296395497,2105.6176,2.1056,0.4211,0
9907483911,2296395497,2777.4636,2.7775,0.5555,0
cluster_1489279437_1489279440_1489279442_3241620189_#3more,2296395497,2337.0533,2.3371,0.4674,0
cluster_1592136105_4611993426_6835825384,2296395497,2063.7093,2.0637,0.4127,0
cluster_298513384_6835868988,2296395497,2020.5172,2.0205,0.4041,0
cluster_376119854_418996073_8190304826,2296395497,2612.1693,2.6122,0.5224,0
