solver_node,sumo_node_id
338,250197486
339,250197487
340,250197490
341,250931931
342,250931944
343,250931958
344,250931959
345,250931960
346,251576067
347,251576068
348,251576069
349,251576071
350,251576074
351,251576075
352,251576076
353,252828856
354,252828857
355,252828858
356,252828860
357,252828861
358,252828862
359,252828863
360,252828918
361,252828919
362,252828920
363,252828921
364,252828922
365,252828923
366,253114349
367,253114350
368,253114351
369,253114354
370,253114356
371,253114357
372,253114363
373,253114364
374,253114365
375,253114366
376,253262184
377,253262185
378,253262186
379,253262187
380,253262188
381,253262190
382,253262191
383,253262192
384,253262193
385,2542647858
386,255942725
387,255942727
388,255942728
389,255942729
390,255942730
391,255942731
392,255942732
393,255942735
394,255942741
395,256993281
396,256993282
397,256993283
398,256993285
399,256993286
400,256993287
401,256993288
402,256993289
403,256993290
404,256993299
405,256993301
406,256993302
407,256993424
408,256993773
409,256993774
410,256993822
411,256993922
412,2570295552
413,2586266852
414,260316102
415,260316103
416,260316108
417,2614090263
418,2641132493
419,267232978
420,2713425617
421,2716390825
422,2734621771
423,2753073648
424,2753084568
425,279068741
426,279068742
427,279068744
428,279396675
429,280645603
430,280645611
431,280645641
432,280645645
433,280645659
434,280645715
435,280645738
436,280645744
437,282723550
438,282723551
439,282723555
440,282723577
441,282723579
442,282723581
443,282723584
444,282723631
445,282723632
446,282723634
447,282723635
448,282723661
449,282741811
450,282813661
451,282813667
452,282813669
453,282813677
454,282813678
455,283263329
456,283267192
457,283267193
458,283267196
459,283267199
460,283267240
461,283267440
462,283361015
463,283678984
464,283678986
465,283678987
466,283678999
467,286310790
468,286311090
469,286311094
470,286311097
471,287354790
472,287354791
473,287354792
474,287354793
475,287354799
476,287354800
477,287354802
478,287354804
479,287356560
480,287356564
481,287360585
482,287360610
483,290577234
484,290577237
485,290577275
486,290580949
487,292190541
488,292190553
489,292190555
490,292190560
491,292190566
492,292190571
493,292190572
494,292190577
495,292190585
496,292190605
497,292190614
498,292443705
499,292443707
500,293302280
501,293302282
502,293458860
503,293458913
504,293458965
505,293458971
506,293459037
507,293459039
508,293459040
509,293459053
510,293459054
511,293459056
512,293459059
513,293459066
514,293459068
515,293459077
516,293459086
517,293459105
518,293815250
519,293815251
520,293815255
521,293815259
522,293815289
523,293815292
524,293911678
525,293911791
526,293911983
527,293911986
528,293956352
529,293956353
530,293956355
531,293956356
532,293956367
533,293956368
534,293956373
535,293956384
536,293956396
537,293956398
538,293956420
539,293956423
540,293956442
541,293956447
542,293956462
543,293956505
544,293956512
545,293956522
546,293956526
547,293956528
548,293956530
549,293956532
550,293956541
551,293956561
552,293956572
553,293956605
554,294264112
555,294269482
556,294269553
557,294269657
558,294269662
559,294269673
560,294269692
561,294269724
562,294269746
563,294269776
564,294298844
565,294298849
566,294298864
567,294298869
568,294311865
569,294311965
570,294312018
571,294312021
572,294312022
573,294312026
574,294312055
575,294312066
576,294312075
577,294312175
578,294312222
579,294312233
580,294312295
581,294312341
582,294320062
583,294320166
584,294320262
585,294320264
586,294320267
587,294320272
588,294320312
589,294320336
590,294320347
591,294320377
592,294320425
593,294320454
594,294320485
595,294320525
596,294320543
597,294320554
598,294320588
599,295144342
600,295144352
601,295144384
602,295144385
603,295144387
604,295144412
605,295144425
606,295144439
607,295144453
608,295144455
609,295144461
610,295144478
611,295144525
612,295144542
613,295144554
614,295144577
615,295144588
616,295144589
617,295144600
618,295144602
619,295144606
620,295144616
621,295144647
622,295144682
623,295144774
624,295144792
625,295144805
626,295144808
627,295144812
628,295144816
629,295144826
630,295144827
631,295144828
632,295144843
633,295144850
634,295144861
635,295144863
636,295144913
637,295144916
638,295175057
639,295175063
640,295175064
641,295175071
642,295175077
643,295175079
644,295175094
645,295175169
646,295175184
647,295175192
648,295406624
649,295406626
650,295406642
651,295406648
652,295406662
653,295406663
654,295406694
655,295406696
656,295406697
657,295406701
658,295406702
659,295406705
660,295406714
661,295406719
662,295406720
663,295406722
664,295699007
665,295699025
666,295699026
667,295699028
668,295699950
669,295699952
670,295699964
671,295699979
672,295700158
673,295700159
674,295701305
675,295701309
676,295701315
677,295701329
678,295704951
679,295704964
680,295704979
681,295704980
682,295704998
683,296018207
684,296180936
685,296180940
686,296180964
687,296180970
688,296180981
689,296266991
690,296266992
691,296267003
692,296267014
693,296267023
694,296267037
695,296267066
696,296267076
697,296267126
698,296267145
699,296267149
700,296267159
701,296501314
702,296501324
703,296501357
704,296501365
705,296501371
706,296501392
707,296501518
708,296501590
709,297024074
710,297024077
711,297024081
712,297024084
713,297024108
714,297024109
715,297024110
716,297024112
717,297024118
718,297322540
719,297322733
720,297322735
721,297322748
722,297322754
723,297322762
724,297322764
725,297322803
726,297322808
727,297322814
728,297322824
729,297322828
730,297322842
731,297322888
732,297322900
733,297322935
734,297322943
735,297322950
736,297322980
737,297323012
738,297323020
739,297323175
740,297323178
741,297323185
742,297323209
743,297323215
744,297323232
745,297323240
746,297323244
747,297323250
748,297323261
749,297323267
750,297338222
751,297338245
752,297338265
753,297338288
754,297794499
755,297794517
756,297794521
