scenario_id,scenario_name,parameter_name,parameter_value,method,dat_file,nodes,edges,parking_lots,source,destination,S,D,Alpha,Wmax,Cmax,w,feasible,solver_status,parking_node,driving_path,walking_edge,full_path,selected_edges,drive_time_hr,walk_distance_km,walk_time_hr,travel_time_hr,parking_cost,objective,path_reconstruction_status,runtime_ms,drive_path,walk_path,case_name,OptimizationSource,HistoricalOPLRuntime,HistoricalOPLStatus,OPLVerificationStatus
,,parking_budget_cmax,20.5,Optimization,N40_PS_parking_budget_Cmax205_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,8,3.554,shortest_path,0.126,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_budget_Cmax205_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_budget_cmax,25.0,Optimization,N40_PS_parking_budget_Cmax250_I1.dat,40,184,2,29,40,29,40,0.9,0.5,25,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,8,3.554,shortest_path,0.135,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_budget_Cmax250_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_cost_variation_mode,10.0-22.5,Optimization,N40_PS_parking_cost_100_225_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,10.95,3.849,shortest_path,0.058,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_cost_100_225_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_cost_variation_mode,12.5-25.0,Optimization,N40_PS_parking_cost_125_250_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,15.9,4.344,shortest_path,0.057,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_cost_125_250_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_cost_variation_mode,15.0-30.0,Optimization,N40_PS_parking_cost_150_300_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,15.24,4.278,shortest_path,0.057,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_cost_150_300_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_cost_variation_mode,8.0-20.5,Optimization,N40_PS_parking_cost_80_205_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.056,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_cost_80_205_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_supply,10%,Optimization,N40_PS_parking_supply_P10_I1.dat,40,188,4,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.108,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_supply_P10_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_supply,15%,Optimization,N40_PS_parking_supply_P15_I1.dat,40,192,6,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.227,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_supply_P15_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_supply,20%,Optimization,N40_PS_parking_supply_P20_I1.dat,40,196,8,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.159,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_supply_P20_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_supply,5%,Optimization,N40_PS_parking_supply_P5_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.057,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_supply_P5_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,traffic_level,high,Optimization,N40_PS_traffic_high_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.0832,0.12,0.024,0.1072,19.16,7.7048,shortest_path,0.056,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_traffic_high_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,traffic_level,low,Optimization,N40_PS_traffic_low_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.056,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_traffic_low_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,traffic_level,medium,Optimization,N40_PS_traffic_medium_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.0408,0.12,0.024,0.0648,19.16,5.4152,shortest_path,0.056,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_traffic_medium_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,traffic_level,very_low,Optimization,N40_PS_traffic_very_low_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.0232,0.12,0.024,0.0472,19.16,4.4648,shortest_path,0.068,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_traffic_very_low_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,maximum_walking_distance,0.25,Optimization,N40_PS_walking_distance_W025_I1.dat,40,184,2,29,40,29,40,0.9,0.25,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.065,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_walking_distance_W025_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,maximum_walking_distance,0.50,Optimization,N40_PS_walking_distance_W050_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.057,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_walking_distance_W050_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,maximum_walking_distance,0.75,Optimization,N40_PS_walking_distance_W075_I1.dat,40,184,2,29,40,29,40,0.9,0.75,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.079,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_walking_distance_W075_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,maximum_walking_distance,1.00,Optimization,N40_PS_walking_distance_W100_I1.dat,40,184,2,29,40,29,40,0.9,1,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.137,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_walking_distance_W100_I1,ExactShortestPathEnumeration,,,no_historical_reference
C1,Baseline,baseline,Baseline,Optimization,N50_C1_I1.dat,50,226,2,48,50,48,50,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,49,48->43->41->40->38->37->36->23->21->11->15->18->20->32->27->29->49,49->50,48->43->41->40->38->37->36->23->21->11->15->18->20->32->27->29->49->50,48->43;43->41;41->40;40->38;38->37;37->36;36->23;23->21;21->11;11->15;15->18;18->20;20->32;32->27;27->29;29->49;49->50,0.031,0.12,0.024,0.055,17.6,4.73,shortest_path,0.073,48->43;43->41;41->40;40->38;38->37;37->36;36->23;23->21;21->11;11->15;15->18;18->20;20->32;32->27;27->29;29->49,49->50,N50_C1_I1,ExactShortestPathEnumeration,69:37:18:72,crashed_memory_limit_user_supplied,historical_crashed_memory_limit_user_supplied
C2,Dense,edge_density,Dense,Optimization,N50_C2_I1.dat,50,242,2,48,50,48,50,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,49,48->47->35->21->27->29->49,49->50,48->47->35->21->27->29->49->50,48->47;47->35;35->21;21->27;27->29;29->49;49->50,0.0267,0.12,0.024,0.0507,17.6,4.4978,shortest_path,0.081,48->47;47->35;35->21;21->27;27->29;29->49,49->50,N50_C2_I1,ExactShortestPathEnumeration,,,no_historical_reference
C4,1.00 km,maximum_walking_distance,1.0,Optimization,N50_C4_I1.dat,50,226,2,48,50,48,50,0.9,1,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,49,48->43->41->40->38->37->36->23->21->11->15->18->20->32->27->29->49,49->50,48->43->41->40->38->37->36->23->21->11->15->18->20->32->27->29->49->50,48->43;43->41;41->40;40->38;38->37;37->36;36->23;23->21;21->11;11->15;15->18;18->20;20->32;32->27;27->29;29->49;49->50,0.031,0.12,0.024,0.055,17.6,4.73,shortest_path,0.074,48->43;43->41;41->40;40->38;38->37;37->36;36->23;23->21;21->11;11->15;15->18;18->20;20->32;32->27;27->29;29->49,49->50,N50_C4_I1,ExactShortestPathEnumeration,,,no_historical_reference
