scenario_id,scenario_name,parameter_name,parameter_value,method,dat_file,nodes,edges,parking_lots,source,destination,S,D,Alpha,Wmax,Cmax,w,feasible,solver_status,parking_node,driving_path,walking_edge,full_path,selected_edges,drive_time_hr,walk_distance_km,walk_time_hr,travel_time_hr,parking_cost,objective,path_reconstruction_status,runtime_ms,drive_path,walk_path
C10,15.0-30.0,parking_cost_variation_mode,15.0-30.0,Optimization,N20_C10_I1.dat,20,62,2,1,20,1,20,0.9,0.5,20.5,,TRUE,solved,19,1->5->6->10->11->15->18->19,19->20,1->5->6->10->11->15->18->19->20,1->5;5->6;6->10;10->11;11->15;15->18;18->19;19->20,0.0251,0.12,0.024,0.0491,20.16,4.6674,success,261,1->5;5->6;6->10;10->11;11->15;15->18;18->19,19->20
C1,Baseline,baseline,Baseline,Optimization,N20_C1_I1.dat,20,62,2,1,20,1,20,0.9,0.5,20.5,,TRUE,solved,19,1->5->6->10->11->15->18->19,19->20,1->5->6->10->11->15->18->19->20,1->5;5->6;6->10;10->11;11->15;15->18;18->19;19->20,0.0251,0.12,0.024,0.0491,17.78,4.4294,success,244,1->5;5->6;6->10;10->11;11->15;15->18;18->19,19->20
C2,Dense,edge_density,Dense,Optimization,N20_C2_I1.dat,20,68,2,1,20,1,20,0.9,0.5,20.5,,TRUE,solved,19,1->5->6->10->13->19,19->20,1->5->6->10->13->19->20,1->5;5->6;6->10;10->13;13->19;19->20,0.023,0.12,0.024,0.047,17.78,4.316,success,233,1->5;5->6;6->10;10->13;13->19,19->20
C3,Higher supply,parking_supply,Higher,Optimization,N20_C3_I1.dat,20,62,2,1,20,1,20,0.9,0.5,20.5,,TRUE,solved,19,1->5->6->10->11->15->18->19,19->20,1->5->6->10->11->15->18->19->20,1->5;5->6;6->10;10->11;11->15;15->18;18->19;19->20,0.0251,0.12,0.024,0.0491,17.78,4.4294,success,273,1->5;5->6;6->10;10->11;11->15;15->18;18->19,19->20
C4,1.00 km,maximum_walking_distance,1.0,Optimization,N20_C4_I1.dat,20,62,2,1,20,1,20,0.9,1,20.5,,TRUE,solved,19,1->5->6->10->11->15->18->19,19->20,1->5->6->10->11->15->18->19->20,1->5;5->6;6->10;10->11;11->15;15->18;18->19;19->20,0.0251,0.12,0.024,0.0491,17.78,4.4294,success,229,1->5;5->6;6->10;10->11;11->15;15->18;18->19,19->20
C5,Medium traffic,traffic_level,Medium,Optimization,N20_C5_I1.dat,20,62,2,1,20,1,20,0.9,0.5,20.5,,TRUE,solved,19,1->5->6->10->11->15->18->19,19->20,1->5->6->10->11->15->18->19->20,1->5;5->6;6->10;10->11;11->15;15->18;18->19;19->20,0.0367,0.12,0.024,0.0607,17.78,5.0558,success,291,1->5;5->6;6->10;10->11;11->15;15->18;18->19,19->20
C6,High traffic,traffic_level,High,Optimization,N20_C6_I1.dat,20,62,2,1,20,1,20,0.9,0.5,20.5,,TRUE,solved,19,1->5->6->10->11->15->18->19,19->20,1->5->6->10->11->15->18->19->20,1->5;5->6;6->10;10->11;11->15;15->18;18->19;19->20,0.0719,0.12,0.024,0.0959,17.78,6.9566,success,231,1->5;5->6;6->10;10->11;11->15;15->18;18->19,19->20
C7,Alpha 0.80,objective_weight_alpha,0.8,Optimization,N20_C7_I1.dat,20,62,2,1,20,1,20,0.9,0.5,20.5,,TRUE,solved,19,1->5->6->10->11->15->18->19,19->20,1->5->6->10->11->15->18->19->20,1->5;5->6;6->10;10->11;11->15;15->18;18->19;19->20,0.0251,0.12,0.024,0.0491,17.78,4.4294,success,264,1->5;5->6;6->10;10->11;11->15;15->18;18->19,19->20
C8,Alpha 0.20,objective_weight_alpha,0.2,Optimization,N20_C8_I1.dat,20,62,2,1,20,1,20,0.1,0.5,20.5,,TRUE,solved,18,1->5->6->10->11->15->18,18->20,1->5->6->10->11->15->18->20,1->5;5->6;6->10;10->11;11->15;15->18;18->20,0.0205,0.35,0.07,0.0905,9.19,8.814,success,246,1->5;5->6;6->10;10->11;11->15;15->18,18->20
C9,Cmax 15.0,parking_budget_cmax,15.0,Optimization,N20_C9_I1.dat,20,62,2,1,20,1,20,0.9,0.5,15,,TRUE,solved,18,1->5->6->10->11->15->18,18->20,1->5->6->10->11->15->18->20,1->5;5->6;6->10;10->11;11->15;15->18;18->20,0.0205,0.35,0.07,0.0905,9.19,5.806,success,225,1->5;5->6;6->10;10->11;11->15;15->18,18->20
C10,15.0-30.0,parking_cost_variation_mode,15.0-30.0,Optimization,N30_C10_I1.dat,30,142,2,25,30,25,30,0.9,0.5,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800094,,
C1,Baseline,baseline,Baseline,Optimization,N30_C1_I1.dat,30,142,2,25,30,25,30,0.9,0.5,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800067,,
C2,Dense,edge_density,Dense,Optimization,N30_C2_I1.dat,30,150,2,25,30,25,30,0.9,0.5,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800071,,
C3,Higher supply,parking_supply,Higher,Optimization,N30_C3_I1.dat,30,144,3,25,30,25,30,0.9,0.5,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800092,,
C4,1.00 km,maximum_walking_distance,1.0,Optimization,N30_C4_I1.dat,30,142,2,25,30,25,30,0.9,1,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800094,,
C5,Medium traffic,traffic_level,Medium,Optimization,N30_C5_I1.dat,30,142,2,25,30,25,30,0.9,0.5,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800030,,
C6,High traffic,traffic_level,High,Optimization,N30_C6_I1.dat,30,142,2,25,30,25,30,0.9,0.5,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800043,,
C7,Alpha 0.80,objective_weight_alpha,0.8,Optimization,N30_C7_I1.dat,30,142,2,25,30,25,30,0.9,0.5,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800072,,
C8,Alpha 0.20,objective_weight_alpha,0.2,Optimization,N30_C8_I1.dat,30,142,2,25,30,25,30,0.1,0.5,20.5,,FALSE,time_limit,,,,,,,,,,,,,1800083,,
C9,Cmax 15.0,parking_budget_cmax,15.0,Optimization,N30_C9_I1.dat,30,142,2,25,30,25,30,0.9,0.5,15,,FALSE,time_limit,,,,,,,,,,,,,1800115,,
