node_id,x,y
250197473,4195.78,4896.01
250197476,4388.45,5167.24
250197477,4294.72,5014.58
250197479,4376.13,4919.33
250197480,3972.92,5112.82
250197481,4145.84,5147.86
250197485,3659.68,4817.81
250197486,4067.22,5549.25
250197487,3686.52,5040.95
250197490,3649.0,4926.73
250931931,3442.56,5437.04
250931944,2582.34,4520.16
250931958,3566.99,4651.31
250931959,3702.83,4729.88
250931960,3932.01,4821.35
251576067,2997.1,4306.22
251576068,3161.21,4404.24
251576069,3244.93,4455.12
251576071,2915.78,4444.31
251576074,3054.04,4400.91
251576075,3166.63,4580.9
251576076,3245.25,4637.44
252828856,4281.73,4886.78
252828857,4520.97,5008.1
252828858,4610.61,5078.63
252828860,4027.88,4838.9
252828861,4102.47,4854.03
252828862,4115.59,4783.32
252828863,3966.38,4647.86
252828918,4090.87,4529.35
252828919,4063.96,4668.68
252828920,4715.37,5375.51
252828921,4480.58,5240.95
252828922,4417.49,5206.81
252828923,4361.37,5187.47
253114349,3799.96,5501.98
253114350,4176.79,5575.58
253114351,4438.7,5742.5
253114354,3900.52,5519.29
253114356,3933.02,5607.76
253114357,3905.93,5697.31
253114363,4239.0,5499.2
253114364,4359.0,5693.74
253114365,4124.67,5700.28
253114366,4089.79,5788.37
253262184,3379.36,5515.13
253262185,3767.75,5708.45
253262186,3553.72,5604.19
253262187,3607.21,5518.47
253262188,3323.55,5581.96
253262190,3164.45,5454.11
253262191,2989.07,5669.36
253262192,3081.89,5716.26
253262193,3138.48,5647.34
2542647858,1468.79,1548.96
255942725,4197.5,4277.74
255942727,4982.03,5102.57
255942728,4805.94,5005.01
255942729,4103.94,4351.71
255942730,4373.96,4691.73
255942731,4345.59,4725.46
255942732,4452.14,4599.16
255942735,4260.73,4357.63
255942741,4861.22,4022.62
256993281,4258.4,4547.6
256993282,4352.23,4472.81
256993283,4477.43,4373.09
256993285,4388.21,4258.86
256993286,4555.45,4472.72
256993287,4753.12,4723.59
256993288,4648.6,4851.11
256993289,4845.87,4610.85
256993290,4585.64,4286.51
256993299,4032.66,4455.95
256993301,3887.14,5812.33
256993302,3760.21,5754.5
256993424,4905.5,4126.42
256993773,3789.83,5568.55
256993774,3897.01,5619.24
256993822,4720.66,4944.67
256993922,4699.7,5137.26
2570295552,988.94,3957.99
2586266852,6915.56,4961.67
260316102,4891.16,4093.02
260316103,4674.85,4484.32
260316108,6039.34,5718.75
2614090263,2641.64,5189.29
2641132493,5901.72,1434.63
267232978,2882.02,6309.66
2713425617,2980.18,5681.97
2716390825,3247.34,5520.77
2734621771,6192.19,5226.34
2753073648,6387.66,3814.82
2753084568,6759.52,3920.86
279068741,3698.31,1108.76
279068742,4682.17,1623.64
279068744,5392.36,2118.51
279396675,1980.02,5859.02
280645603,4777.7,5301.3
280645611,5174.14,5456.44
280645641,6605.18,3921.89
280645645,6597.58,3938.38
280645659,6426.33,4268.67
280645715,6024.59,4834.31
280645738,5760.74,5070.47
280645744,5508.5,4945.58
282723550,1508.67,3770.61
282723551,1548.32,3694.17
282723555,1601.46,3814.53
282723577,1455.38,3646.46
282723579,1590.53,3477.68
282723581,1687.17,3660.14
282723584,1688.03,3668.84
282723631,1934.27,3941.13
282723632,1802.91,4100.67
282723634,2104.66,3726.45
282723635,1873.01,4014.04
282723661,1755.54,3927.9
282741811,1783.8,3569.77
282813661,2096.65,4390.46
282813667,1980.57,4575.87
282813669,1988.98,4693.33
282813677,2077.4,4786.4
282813678,2028.69,4832.56
283263329,953.06,4221.37
283267192,1025.4,3202.86
283267193,984.26,3286.85
283267196,954.22,3317.1
283267199,899.52,3321.44
283267240,1221.97,3298.27
283267440,1436.01,3910.15
283361015,0.0,3849.86
283678984,6254.79,3684.58
283678986,6127.5,3921.59
283678987,6087.28,4009.94
283678999,4857.03,5203.46
286310790,7180.33,6115.97
286311090,3824.4,1845.16
286311094,3256.57,1548.06
286311097,2685.19,1339.37
287354790,6469.48,3091.28
287354791,6401.65,2985.52
287354792,6377.36,3005.17
287354793,6219.41,2805.14
287354799,5733.3,2823.82
287354800,5545.51,2964.14
287354802,5127.08,3378.29
287354804,4911.89,3610.38
287356560,3828.22,3079.3
287356564,5453.71,3521.02
287360585,2468.2,4391.83
287360610,2467.3,4370.21
290577234,5502.5,1683.74
290577237,5563.19,1698.04
290577275,6331.76,1890.52
290580949,2703.26,5506.44
292190541,7842.62,1386.56
292190553,7771.19,1579.85
292190555,7618.59,1702.42
292190560,6326.18,2720.63
292190566,5607.37,1851.99
292190571,5522.12,1732.71
292190572,5467.49,1650.34
292190577,5328.76,1760.94
292190585,2186.69,2765.84
292190605,2547.07,4007.77
292190614,2339.71,4469.64
292443705,2465.45,3940.7
292443707,1411.02,3922.71
